Country,Year,PercentageHomicidesByFirearms,NumberOfHomicidesByFirearms,NumberHomicidesByFirearmsPer100K,Population,Region,Subregion,,IsWeaponLegal,IsHiddenWeaponLegal,LegalFrom,IllegalFrom,GunLawUrl,GunLawSummary,GunLegalAge,
Mauritius,1995,,,,1294104,Africa,Eastern Africa,,,,,,,,,
Mauritius,1996,,,,1294104,Africa,Eastern Africa,,,,,,,,,
Mauritius,1997,,,,1294104,Africa,Eastern Africa,,,,,,,,,
Mauritius,1998,,,,1294104,Africa,Eastern Africa,,,,,,,,,
Mauritius,1999,,,,1294104,Africa,Eastern Africa,,,,,,,,,
Mauritius,2000,,,,1294104,Africa,Eastern Africa,,,,,,,,,
Mauritius,2001,,,,1294104,Africa,Eastern Africa,,,,,,,,,
Mauritius,2002,,,,1294104,Africa,Eastern Africa,,,,,,,,,
Mauritius,2003,,,,1294104,Africa,Eastern Africa,,,,,,,,,
Mauritius,2004,,,,1294104,Africa,Eastern Africa,,,,,,,,,
Mauritius,2005,0,0,0,1294104,Africa,Eastern Africa,,,,,,,,,
Mauritius,2006,2,1,0.1,1294104,Africa,Eastern Africa,,,,,,,,,
Mauritius,2007,,,,1294104,Africa,Eastern Africa,,,,,,,,,
Mauritius,2008,,,,1294104,Africa,Eastern Africa,,,,,,,,,
Mauritius,2009,,,,1294104,Africa,Eastern Africa,,,,,,,,,
Mauritius,2010,,,,1294104,Africa,Eastern Africa,,,,,,,,,
Uganda,1995,,,,33398682,Africa,Eastern Africa,,,,,,,,,
Uganda,1996,,,,33398682,Africa,Eastern Africa,,,,,,,,,
Uganda,1997,,,,33398682,Africa,Eastern Africa,,,,,,,,,
Uganda,1998,,,,33398682,Africa,Eastern Africa,,,,,,,,,
Uganda,1999,,,,33398682,Africa,Eastern Africa,,,,,,,,,
Uganda,2000,,,,33398682,Africa,Eastern Africa,,,,,,,,,
Uganda,2001,,,,33398682,Africa,Eastern Africa,,,,,,,,,
Uganda,2002,,,,33398682,Africa,Eastern Africa,,,,,,,,,
Uganda,2003,15.6835206,335,1.257430712,33398682,Africa,Eastern Africa,,,,,,,,,
Uganda,2004,17.95998048,368,1.337130007,33398682,Africa,Eastern Africa,,,,,,,,,
Uganda,2005,,,,33398682,Africa,Eastern Africa,,,,,,,,,
Uganda,2006,13.98367953,377,1.283611774,33398682,Africa,Eastern Africa,,,,,,,,,
Uganda,2007,12.81785158,247,0.814109607,33398682,Africa,Eastern Africa,,,,,,,,,
Uganda,2008,12.74972757,351,1.119996202,33398682,Africa,Eastern Africa,,,,,,,,,
Uganda,2009,10.49082053,280,0.865054335,33398682,Africa,Eastern Africa,,,,,,,,,
Uganda,2010,,,,33398682,Africa,Eastern Africa,,,,,,,,,
Zambia,1995,,,,13460305,Africa,Eastern Africa,,,,,,,,,
Zambia,1996,,,,13460305,Africa,Eastern Africa,,,,,,,,,
Zambia,1997,,,,13460305,Africa,Eastern Africa,,,,,,,,,
Zambia,1998,,,,13460305,Africa,Eastern Africa,,,,,,,,,
Zambia,1999,,,,13460305,Africa,Eastern Africa,,,,,,,,,
Zambia,2000,,,,13460305,Africa,Eastern Africa,,,,,,,,,
Zambia,2001,,,,13460305,Africa,Eastern Africa,,,,,,,,,
Zambia,2002,,,,13460305,Africa,Eastern Africa,,,,,,,,,
Zambia,2003,,,,13460305,Africa,Eastern Africa,,,,,,,,,
Zambia,2004,5.602240896,20,0.303418542,13460305,Africa,Eastern Africa,,,,,,,,,
Zambia,2005,5.367231638,19,0.279557376,13460305,Africa,Eastern Africa,,,,,,,,,
Zambia,2006,4.922279793,19,0.271160348,13460305,Africa,Eastern Africa,,,,,,,,,
Zambia,2007,4.600484262,19,0.263019232,13460305,Africa,Eastern Africa,,,,,,,,,
Zambia,2008,7.374631268,25,0.335683254,13460305,Africa,Eastern Africa,,,,,,,,,
Zambia,2009,4.846938776,19,0.24744631,13460305,Africa,Eastern Africa,,,,,,,,,
Zambia,2010,11.71548117,28,0.353676681,13460305,Africa,Eastern Africa,,,,,,,,,
Zimbabwe,1995,,,,11651858,Africa,Eastern Africa,,,,,,,,,
Zimbabwe,1996,,,,11651858,Africa,Eastern Africa,,,,,,,,,
Zimbabwe,1997,,,,11651858,Africa,Eastern Africa,,,,,,,,,
Zimbabwe,1998,72.23650386,562,4.583361809,11651858,Africa,Eastern Africa,,,,,,,,,
Zimbabwe,1999,68.27033219,596,4.804422907,11651858,Africa,Eastern Africa,,,,,,,,,
Zimbabwe,2000,65.57017544,598,4.78037571,11651858,Africa,Eastern Africa,,,,,,,,,
Zimbabwe,2001,,,,11651858,Africa,Eastern Africa,,,,,,,,,
Zimbabwe,2002,,,,11651858,Africa,Eastern Africa,,,,,,,,,
Zimbabwe,2003,,,,11651858,Africa,Eastern Africa,,,,,,,,,
Zimbabwe,2004,,,,11651858,Africa,Eastern Africa,,,,,,,,,
Zimbabwe,2005,,,,11651858,Africa,Eastern Africa,,,,,,,,,
Zimbabwe,2006,,,,11651858,Africa,Eastern Africa,,,,,,,,,
Zimbabwe,2007,,,,11651858,Africa,Eastern Africa,,,,,,,,,
Zimbabwe,2008,,,,11651858,Africa,Eastern Africa,,,,,,,,,
Zimbabwe,2009,,,,11651858,Africa,Eastern Africa,,,,,,,,,
Zimbabwe,2010,,,,11651858,Africa,Eastern Africa,,,,,,,,,
Democratic Republic of the Congo,1995,,,,70916439,Africa,Middle Africa,,,,,,,,,
Democratic Republic of the Congo,1996,,,,70916439,Africa,Middle Africa,,,,,,,,,
Democratic Republic of the Congo,1997,,,,70916439,Africa,Middle Africa,,,,,,,,,
Democratic Republic of the Congo,1998,,,,70916439,Africa,Middle Africa,,,,,,,,,
Democratic Republic of the Congo,1999,,,,70916439,Africa,Middle Africa,,,,,,,,,
Democratic Republic of the Congo,2000,,,,70916439,Africa,Middle Africa,,,,,,,,,
Democratic Republic of the Congo,2001,,,,70916439,Africa,Middle Africa,,,,,,,,,
Democratic Republic of the Congo,2002,,,,70916439,Africa,Middle Africa,,,,,,,,,
Democratic Republic of the Congo,2003,,,,70916439,Africa,Middle Africa,,,,,,,,,
Democratic Republic of the Congo,2004,21.8487395,156,0.982645411,70916439,Africa,Middle Africa,,,,,,,,,
Democratic Republic of the Congo,2005,19.37424789,161,1.014140456,70916439,Africa,Middle Africa,,,,,,,,,
Democratic Republic of the Congo,2006,20.67510549,147,0.92595433,70916439,Africa,Middle Africa,,,,,,,,,
Democratic Republic of the Congo,2007,24.82566248,178,1.12122361,70916439,Africa,Middle Africa,,,,,,,,,
Democratic Republic of the Congo,2008,17.09286676,127,0.799974149,70916439,Africa,Middle Africa,,,,,,,,,
