Year,Q1,Q2,Q3,Q4,"Q1, $","Q2, $","Q3, $","Q4, $"
2002,56452.5,56452.5,56452.5,56452.5,10598.25,10598.25,10598.25,10598.25
2003,66836,66836,66836,66836,12533.25,12533.25,12533.25,12533.25
2004,86278.25,86278.25,86278.25,86278.25,16220.75,16220.75,16220.75,16220.75
2005,110363,110363,110363,110363,21535.5,21535.5,21535.5,21535.5
2006,136038.25,136038.25,136038.25,136038.25,26938.25,26938.25,26938.25,26938.25
2007,180182.75,180182.75,180182.75,180182.75,35679.75,35679.75,35679.75,35679.75
2008,237014,237014,237014,237014,44998,44998,44998,44998
2009,228336.25,228336.25,228336.25,228336.25,29307,29307,29307,29307
2010,270642.25,270642.25,270642.25,270642.25,34104.75,34104.75,34104.75,34104.75
2011,329150,329150,329150,329150,40790,40790,40790,40790
2012,352222.25,352222.25,352222.25,1408889,43945.25,43945.25,43945.25,43945.25
2013,363732.75,363732.75,363732.75,363732.75,45827.5,45827.5,45827.5,45827.5
2014,391682,391682,391682,391682,32951.25,32951.25,32951.25,32951.25
2015,367577,449575,555044,560595,15642,19131,23619,23855
